stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
de:09362:14102:0:2,,Hermann-Höcherl-Str.,,48.9845066,12.1447925,,,0,,,0
de:09362:14102:0:4,,Hermann-Höcherl-Str.,,48.9852083,12.1446305,,,0,,,0
de:09362:14013:0:2,,Burgweinting Kirche,,48.99241,12.1380377,,,0,,,0
de:09362:14013:0:3,,Burgweinting Kirche,,48.9925002,12.1379013,,,0,,,0
de:09362:14015:0:2,,Kurzer Weg,,48.986663,12.1390602,,,0,,,0
de:09362:14015:0:3,,Kurzer Weg,,48.9866002,12.1388141,,,0,,,0
de:09362:14014:0:1,,Langer Weg,,48.9833569,12.1365508,,,0,,,0
de:09362:14014:0:2,,Langer Weg,,48.9837355,12.1356775,,,0,,,0
de:09362:14034:0:1,,Minervastraße,,48.9907153,12.13090065,,,0,,,0
de:09362:14034:0:2,,Minervastraße,,48.9909258,12.1308327,,,0,,,0
de:09362:14048:0:1,,Römerstraße,,48.9901488,12.1260894,,,0,,,0
de:09362:14048:0:2,,Römerstraße,,48.98981228815855,12.12574093361254,,,0,,,0
de:09362:14048:0:3,,Römerstraße,,48.9897808,12.1255147,,,0,,,0
de:09362:10340:0:1,,Rudolf-Schlichtinger-Str.,,48.98794406345945,12.14625357623372,,,0,,,0
de:09362:10340:0:2,,Rudolf-Schlichtinger-Str.,,48.9881466,12.1463741,,,0,,,0
de:09362:14033:0:0,,Sophie-Scholl-Straße,,48.9836641,12.1427541,,,0,,,0
de:09362:14033:0:1,,Sophie-Scholl-Straße,,48.9834308,12.1422755,,,0,,,0
de:09362:14016:0:2,,Friedr.-Viehbacher-Allee,,48.98836511698543,12.14111702274842,,,0,,,0
de:09362:14016:0:3,,Friedr.-Viehbacher-Allee,,48.98835191,12.1410728,,,0,,,0
de:09362:15039:0:1,,Clermont-Ferrand-Allee,,49.02330133114176,12.05984143474926,,,0,,,0
de:09362:15039:0:2,,Clermont-Ferrand-Allee,,49.02335489028334,12.05967793379754,,,0,,,0
de:09362:616:0:3,,Coburger Straße,,49.05648278582209,12.13090597123959,,,0,,,0
de:09362:616:0:4,,Coburger Straße,,49.0565011788572,12.13084283175081,,,0,,,0
de:09362:14081:0:1,,Jahnstadion Regensburg / P2,,48.9901088,12.1031888,,,0,,,0
de:09362:14079:0:1,,Jahnstadion Regensburg,,48.9913586,12.1128383,,,0,,,0
de:09362:14079:0:2,,Jahnstadion Regensburg,,48.9911426355702,12.11279011994271,,,0,,,0
de:09362:14079:0:6,,Jahnstadion Regensburg,,48.9908197,12.1121675,,,0,,,0
de:09362:14079:0:7,,Jahnstadion Regensburg,,48.9907577,12.1111836,,,0,,,0
de:09362:14054:0:2,,Cranachweg,,49.0071058,12.062998,,,0,,,0
de:09362:14054:0:3,,Cranachweg,,49.0071597,12.0631622,,,0,,,0
