route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
5,702 SIL,[@1.0.241557723@][1749187136313]/284__702_SIL,shape_280,Markomannenstr.,,1,702 SIL
5,702 SA bis 13.09.24,[@1.0.241557723@][1749187136313]/284__702_SA_bis_13.09.24,shape_280,Markomannenstr.,,1,702 SA bis 13.09.24
5,702 HA,[@1.0.241557723@][1749187136313]/284__702_HA,shape_280,Markomannenstr.,,1,702 HA
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/285__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/286__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,00503,[@1.0.241557723@][1749187136313]/287__00503,shape_281,Jahnstadion Regensburg,,1,00503
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/288__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/289__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00504,[@1.0.241557723@][1749187136313]/289__00504,shape_280,Jahnstadion Regensburg,,1,00504
5,501 SIL,[@1.0.241557723@][1749187136313]/29__501_SIL,shape_276,Weichs/DEZ,,0,501 SIL
5,501 HA,[@1.0.241557723@][1749187136313]/29__501_HA,shape_276,Weichs/DEZ,,0,501 HA
5,501 SA,[@1.0.241557723@][1749187136313]/29__501_SA,shape_276,Weichs/DEZ,,0,501 SA
5,00504,[@1.0.241557723@][1749187136313]/290__00504,shape_280,Jahnstadion Regensburg,,1,00504
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/290__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/291__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00501 SF/WF,[@1.0.241557723@][1749187136313]/292__00501_SF/WF,shape_281,Jahnstadion Regensburg,,1,00501 SF/WF
5,00501 SF/WF bis 15.09.25,[@1.0.241557723@][1749187136313]/292__00501_SF/WF_bis_15.09.25,shape_281,Jahnstadion Regensburg,,1,00501 SF/WF bis 15.09.25
5,00501 DO SF/WF[2025-8-7],[@1.0.241557723@][1749187136313]/292__00501_DO_SF/WF[2025-8-7],shape_281,Jahnstadion Regensburg,,1,00501 DO SF/WF[2025-8-7]
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/293__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/294__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/295__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/296__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,00301 mit Eisl.,[@1.0.241557723@][1749187136313]/297__00301_mit_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 mit Eisl.
